date,equity_pc,source
2025-04-11,0.43,cdn.cboe.com/data/us/options/market_statistics/daily/2025-04-11_daily_options
2025-04-16,0.72,cdn.cboe.com/data/us/options/market_statistics/daily/2025-04-16_daily_options
2025-04-17,0.54,cdn.cboe.com/data/us/options/market_statistics/daily/2025-04-17_daily_options
2025-04-21,0.67,cdn.cboe.com/data/us/options/market_statistics/daily/2025-04-21_daily_options
2025-04-22,0.54,cdn.cboe.com/data/us/options/market_statistics/daily/2025-04-22_daily_options
2025-04-23,0.54,cdn.cboe.com/data/us/options/market_statistics/daily/2025-04-23_daily_options
2025-04-24,0.64,cdn.cboe.com/data/us/options/market_statistics/daily/2025-04-24_daily_options
2025-04-25,0.46,cdn.cboe.com/data/us/options/market_statistics/daily/2025-04-25_daily_options
2025-05-08,0.54,cdn.cboe.com/data/us/options/market_statistics/daily/2025-05-08_daily_options
2025-05-09,0.53,cdn.cboe.com/data/us/options/market_statistics/daily/2025-05-09_daily_options
2025-05-12,0.50,cdn.cboe.com/data/us/options/market_statistics/daily/2025-05-12_daily_options
2025-05-13,0.55,cdn.cboe.com/data/us/options/market_statistics/daily/2025-05-13_daily_options
2025-05-14,0.41,cdn.cboe.com/data/us/options/market_statistics/daily/2025-05-14_daily_options
2025-05-27,0.52,cdn.cboe.com/data/us/options/market_statistics/daily/2025-05-27_daily_options
2025-10-10,0.69,cdn.cboe.com/data/us/options/market_statistics/daily/2025-10-10_daily_options
2025-10-13,0.55,cdn.cboe.com/data/us/options/market_statistics/daily/2025-10-13_daily_options
2025-11-04,0.66,cdn.cboe.com/data/us/options/market_statistics/daily/2025-11-04_daily_options
2025-11-10,0.49,cdn.cboe.com/data/us/options/market_statistics/daily/2025-11-10_daily_options
